"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Navajo (Navaho)"	"NAVA"	"NA-DENE"	"USA"	"t,k,kʷ,tʼ,kʼ,iː,ĩː,b,d,ɡ,eː,oː,ẽː,õː,ts,tʃ,tɬ,aː,ãː,tsʼ,tʃʼ,tɬʼ,dz,dʒ,dl,i,ĩ,s,ʃ,ɬ,x,xʷ,h,e,o,ẽ,õ,z,ʒ,l,ʝ,ɣ,ɣʷ,a,ã,ʝʼ,m,n,mʼ,n’,"		"Reichard, Gladys A. (1974) Navaho Grammar. New York: J.J. Augustin Publisher."
"Ndebele, Northern Transvaal"	"NTND"	"NIGER-CONGO (Bantu)"	"South Africa"	"pʼ,pʼ,t̪ʼ,n̪t̪ʼ,tlʼ,tʃʼ,kʼ,kxʼ,ŋkxʼ,pʰ,pʰ,pʃʰ,tlʰ,tʰ,ⁿtʰ,tsʰ,tʃʰ,kʰ,kxʰ,dʒ,ⁿdʒ,b,d̪,dl,ⁿdl,ⁿd,dz,b̥,mb̥,d̥,nd̥,ɟ̥,ɡ̥,ŋɡ̥,ʄ,ɠ,f,f,s,ⁿs,s̞,n̞s̞,ʃ,x,χ,β,v,v,ɣ,ɦ,ɬ,ⁿɬ,m,n̪,n,n̞,ɲ,ŋ,i,u,r,ɪ,ʊ,ɾ,e,o,l,ɛ,ɔ,w,j,ɑ,"		"Ziervogel, D. (1959) A Grammar of Northern Transvaal Ndebele. Pretoria: J. L. van Schaik, Ltd."
"Ndyuka"	"NDYU"	"CREOLE"	"Suriname"	"p,t,k,b,d,ɡ,i,u,f,s,h,e,o,a,m,n,l,w,j,"	"v,z,"	"Huttar, George L., and Mary L. Huttar (1994) Ndyuka. New York: Routledge."
"Ngiti"	"NGIT"	"NILO-SAHARAN"	"Democratic Republic of Congo"	"p,t,ʈɽ,c,k,k͡p,b,d,ɖɽ,ɟ,ɡ,ɡ͡b,i,u,ɓ̥,ɖ˞,ʄ̥,ʔ,ɪ,ʊ,ɓ,ɗ,ʄ,e,o,b,ⁿd,ɳɖɽ,ⁿɟ,ɡ,ɡ͡b,ɛ,ɔ,pf,ts,a,bv,dz,f,s,h,v,z,v,ⁿz,m,n,ɲ,β,l,r,j,w,"		"Kutsch Lojenga, Constance (1994) Ngiti: A Central-Sudanic Language of Zaire. Köln: Rüdinger Köppe Verlag."
"Ngiyambaa"	"NGIY"	"AUSTRALIAN (Pama-Nyungan)"	"Australian"	"b,d̪,d,ɟ,ɡ,m,n̪,n,ɲ,ŋ,i,u,l,ʎ,a,r,w,ɻ,j,"		"Donaldson, Tamsin (1980) Ngiyambaa: The Language of the Wangaaybuwan. New York: Cambridge University Press."
"Nguna (North Efate)"	"NGUN"	"AUSTRONESIAN"	"Vanuatu"	"p,t̪,k,ɸ,s,i,u,v,e,o,m,n̪,ŋ,a,mβ,l,w,ɾ,"		"Schütz, Albert J. (1969) Nguna Grammar. Honolulu: Oceanic Linguistics Special Publication."
"Ngura"	"NGUR"	"AUSTRALIAN(?)"	"Australia"	"p,t̪,t̪ʲ,ʈ,k,d,m,n̪,n̪ʲ,ɳ,ŋ,i,u,r,a,l,lʲ,ɭ,w,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Nhanda (Yinggarda)"	"NHAN"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t̪,t,ʈ,c,k,b,d̪,d,ɖ,ɟ,ɡ,i,u,m,n̪,n,ɳ,ɲ,ŋ,a,l̪,l,ɭ,ʎ,w,ɻ,j,ʔ,"		"Blevins, Juliette (2001) Nhanda, an Aboriginal Language of Western Australia. Honolulu: University of Hawai’i Press."
"Nigerian English (Nigerian Pidgin)"	"NIGE"	"CREOLE"	"Nigeria"	"p,t,tʃ,k,k͡p,b,d,dʒ,ɡ,ɡ͡b,i,u,f,s,ʃ,h,e,o,v,z,ɛ,ɔ,m,n,ŋ,a,ɾ,l,w,j,"		"Faraclas, Nicholas G. (1996) Nigerian Pidgin. New York: Routledge."
"Nimboran"	"NIMB"	"TRANS-NEW GUINEA"	"Indonesia (Irian Jaya)"	"p,t̪,k,b,d̪,ɡ,i,ɨ,u,s̪,h,e,o,m,n̪,ŋ,a,r,"		"Anceaux, J.C. (1965) The Nimboran Language. ‘S-Gravenhage – Martinus Nijhoff."
"Nisgha (Nisgaʼa)"	"NISG"	"PENUTIAN"	"Canada"	"p,t̪,ts,k,kʷ,q,i,u,iː,uː,pʼ,t̪ʼ,tsʼ,tɬʼ,kʼ,kʼʷ,qʼ,e,o,eː,oː,s,ɬ,x,xʷ,χ,a,aː,m,n,l,j,w,h,mʼ,n’,lʼ,jʼ,wʼ,ʔ,"		"Tarpent, Marie-Lucie (1987) A Grammar of The Nisgha Language. Ann Arbor: UMI."
"Nkore-Kiga"	"NKOR"	"NIGER-CONGO (Bantu)"	"Uganda"	"p,t,tʃ,k,b,d,ɡ,ɪ,ʊ,f,s,ʃ,h,ɛ,o,v,z,ʒ,ɑ,m,n,ɲ,w,ɹ,j,"		"Taylor, Charles (1985) Nkore-Kiga. Dover, NH: Croom Helm."
"Noni (Noone)"	"NONI"	"NIGER-CONGO (Bantu)"	"Cameroon"	"t,tʃ,k,ʔ,b,d,dʒ,ɡ,i,iː,u,uː,f,s,ʃ,e,eː,o,oː,m,n,ɲ,ŋ,ɛ,ɛː,ɔ,ɔː,w,l,j,ɰ,a,aː,"		"Hyman, Larry M. (1981) Noni Grammatical Structure. Southern California Occasional Papers in Linguistics 9."
"Noon"	"NOON"	"NIGER-CONGO"	"Senegal"	"p,t,c,k,ʔ,b,d,ɟ,ɡ,i,iː,u,uː,b,ⁿd,ⁿɟ,ɡ,ɪ,ɪː,ʊ,ʊː,ɓ,ɗ,ʄ,e,eː,o,oː,f,s,h,ɛ,ɛː,ɔ,ɔː,m,n,ɲ,ŋ,ə,əː,r,a,aː,l,w,j,"		"Soukka, Maria (2000) A Descriptive Grammar of Noon. Muenchen: Lincom Europa."
"Nuer"	"NUER"	"NILO-SAHARAN"	"Sudan and Ethiopia"	"p,t̪,t,c,k,q,b,d,ɡ,ʔ,i,u,pɸ,ɪ,ə,ʊ,ɸ,θ,š,ç,h,e,o,β,ð,ʝ,ɦ,ɛ,ɔ,m,n̪,n,ɲ,ŋ,ʌ,l,ɑ,r,w,j,"		"Crazzolara, Father J. P. (1933) Outlines of a Nuer Grammar. Wien: Verlag der Internationalen Zeitschrift."
"Nuuchahnulth (Tsishaath Nootka)"	"TSIS"	"WAKASHAN"	"Canada"	"p,t,k,kʷ,q,qʷ,ʔ,iː,uː,pʼ,tʼ,kʼ,kʼʷ,qʼ,qʼʷ,ʔˤ,ts,tɬ,tʃ,aː,tsʼ,tɬʼ,tʃʼ,s,ɬ,ɬʷ,ʃ,x,xʷ,χ,χʷ,ħ,ħʷ,h,i,u,m,n,a,mʼ,n’,j,w,jʼ,wʼ,"	"eː,oː,"	"Stonham, John (1999) Aspects of Tsishaath Nootka Phonetics & Phonology. Muenchen: Lincom Europa."
"Nyangumata"	"NYNG"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t,ʈ,c,k,m,n,ɳ,ɲ,ŋ,i,u,l,ɭ,ʎ,a,r,w,ɻ,j,"		"O’Grady, Geoffrey N. (1964) Nyangumata Grammar. Sydney: University of Sydney."
"Nyanja"	"NYNJ"	"NIGER-CONGO (Bantu)"	"Malawi, Zambia, Mozambique, Zimbabwe"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,f,s,e,o,v,z,a,m,n,ŋ,l,w,j,"		"Price, Thomas (1958) The Elements of Nyanja. Blantyre: Church of Scotland Mission. "
"Nyanja (Chichewa dialect)"	"CHIC"	"NIGER-CONGO (Bantu)"	"Malawi, Zambia, Mozambique, Zimbabwe"	"pʰ,pʰʷ,pʰ,tʰ,tʰʷ,ⁿtʰ,kʰ,kʰʷ,kʰ,p,pʷ,p,t,tʷ,ⁿt,k,kʷ,ⁿk,b,bʷ,b,bʷ,d,dʷ,ⁿd,ⁿdʷ,ɟ,ⁿɟ,ɡ,ɡʷ,ɡ,i,u,tʃʰ,tʃʰʷ,ⁿtʃʰʷ,ɪ,ʊ,ps,ts,tʃ,tʃʷ,ⁿtʃʷ,e,o,dz,dʒ,ɛ,ɔ,bʲ,a,f,fʷ,f,s,sʷ,ⁿs,ʃ,v,vʷ,v,z,zʷ,ⁿz,m,mʷ,n,nʷ,ŋ,l,l,w,j,nʲ,ⁿɡʷ,"		"Bentley, Mayrene, and Andrew Kulemeka (2001) Muenchen: Lincom Europa."
"Nyulnyul"	"NYUL"	"AUSTRALIAN"	"Australia"	"b,d,ɖ,ɟ,ɡ,m,n,ɳ,ɲ,ŋ,i,u,l,ɭ,ʎ,a,r,w,ɻ,j,"		"McGregor, William (1996) Nyulnyul. München: Lincom Europa."
"Ojibwa, Central"	"COJI"	"ALGIC"	"Canada"	"p,t,tʃ,k,kʷ,b,d,dʒ,ɡ,ɡʷ,i,iː,s,ʃ,o,eː,oː,z,ʒ,a,aː,m,n,ŋ,w,j,h,hʷ,"		"Rhodes, Richard Alan (1976) Morphosyntax of the Central Ojibwa Verb. Ann Arbor: UMI."
"Ojibwa, Eastern"	"EOJI"	"ALGIC"	"Canada"	"pː,tː,tːʃː,kː,i,iː,p,t,tʃ,k,ʔ,o,eː,oː,sː,ʃː,a,aː,s,ʃ,m,n,"		"Bloomfield, Leonard (1956) Eastern Ojibwa: Grammatical Sketch, Texts, and Word List. Ann Arbor: The University of Michigan Press"
"Okpe"	"OKPE"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,c,k,k͡p,b,d,ɟ,ɡ,ɡ͡b,i,ĩ,u,ũ,ɸ,f,s,ç,h,ɪ,ɪ̃,ʊ,ʊ̃,v,z,ʝ,ɣ,ɣʷ,e,ẽ,o,õ,m,r,ɛ,ɛ̃,ɔ,ɔ̃,ɾ,a,ã,l,ʋ,j,w,"		"also Hoffmann, C. (1973) Okpe – A nine-vowel language with only seven vowels. Research notes (Idadan) 6(1-3). 97-111.\nElugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Oloma"	"OLOM"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,c,k,k͡p,b,d,ɟ,ɡ,ɡ͡b,i,u,t̂,k̂,k̂͡p̂,e,o,d̂,ɡ̂,ɡ̂͡b̂,ɛ,ɔ,f,s,ʃ,h,a,v,z,v̤,z̤,ʒ̤,m,n,ɲ,ŋʷ,m̂,n̂,ɺ,ʋ,ɹ,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Oneida"	"ONEI"	"IROQUOIAN"	"Canada and USA"	"t,k,ʔ,s,h,i,ũ,n,e,ʌ̃,o,l,a,w,j,"		"Michelson, Karin Eva (1983) A Comparative Study of Accent in the Five nations Iroquoian Languages. Ann Arbor: UMI."
"Onondaga"	"ONON"	"IROQUOIAN"	"Canada and USA"	"t,k,ʔ,i,ũ,s,h,e,o,n,ɛ̃,w,j,æ,a,"		"Michelson, Karin Eva (1983) A Comparative Study of Accent in the Five nations Iroquoian Languages. Ann Arbor: UMI."
"Oriya, Kotia (Adivasi Oriya)"	"KOTI"	"INDO-EUROPEAN (Indo-Aryan)"	"India"	"p,t̪,ʈ,tʃ,k,ĩ,ũ,ĩː,ũː,b,d̪,ɖ,dʒ,ɡ,ẽ,õ,ẽː,õː,s,h,ã,ãː,m,n,ɳ,ŋ,i,u,iː,uː,l,e,o,eː,oː,ɾ,ɽ,a,aː,"		"Gustafsson, Uwe (1974) Kotia Oriya Phonemic Summary. Nagpur, India: Summer Institute of Linguistics."
"Orma"	"ORMA"	"AFRO-ASIATIC (Cushitic)"	"Kenya"	"t,tʃ,k,b,d,dʒ,ɡ,i,u,pʼ,tʼ,tʃʼ,kʼ,e,o,ɗ,a,f,s,ʃ,h,m,n,ɲ,ŋ,r,l,w,j,"		"Stroomer, Harry (1987) A Comparative Study of Three Southern Oromo Dialects in Kenya. Hamburg: Helmut Buske Verlag."
"Oromo, Boraana (Borana-Arsi-Guji Oromo)"	"BORA"	"AFRO-ASIATIC (Cushitic)"	"Ethiopia and Kenya"	"t,tʃ,k,b,d,dʒ,ɡ,i,u,pʼ,tʼ,tʃʼ,kʼ,e,o,ɗ,a,f,s,ʃ,h,m,n,ɲ,ŋ,r,l,w,j,"		"Stroomer, Harry (1987) A Comparative Study of Three Southern Oromo Dialects in Kenya. Hamburg: Helmut Buske Verlag."
"Oromo, Harar (Eastern Oromo)"	"HARO"	"AFRO-ASIATIC (Cushitic)"	"Ethiopia"	"pʼ,t̪ʼ,tʃʼ,kʼ,ʔ,t̪,tʃ,i,u,dʼ,e,o,b,d̪,dʒ,ɡ,a,f,s,ʃ,x,h,m,n,ɲ,l,r,w,j,"	"k,z,"	"Owens, Jonathan (1985) A Grammar of Harar Oromo (Northeastern Ethiopia). Hamburg: Helmut Buske Verlag."
"Oromo, Waata (Sanye)"	"WAAT"	"AFRO-ASIATIC (Cushitic)"	"Ethiopia"	"t,tʃ,k,b,d,dʒ,ɡ,i,u,pʼ,tʼ,tʃʼ,kʼ,e,o,ɗ,a,f,s,ʃ,h,m,n,ɲ,ŋ,r,l,w,j,"		" Stroomer, Harry (1987) A Comparative Study of Three Southern Oromo Dialects in Kenya. Hamburg: Helmut Buske Verlag."
"Oshindonga"	"OSHI"	"NIGER-CONGO (Bantu)"	"Namibia"	"p,t,k,ʔ,ts,i,u,f,θ,s,ʃ,x,h,e,o,v,ð,z,ɣ,a,m,n,ɲ,w,l,j,"		"Fivaz, Derek (1986) A Reference Grammar of Oshindonga (Wambo).  Windhoek: Star Binder & Printers."
"Ostyak, Eastern (Khanty)"	"EOST"	"URALIC (Finno-Ugric)"	"Russia"	"p,t,ʈʂ,c,k,s,i,y,ɯ,u,m,n,ɳ,ɲ,ŋ,e,ø,o,l,ɭ,ʎ,æ,a,r,w,j,ɣ,ə̆,ø̆,ă,ŏ,"		"Gulya, János (1966) Eastern Ostyak Chrestomathy. Bloomington/The Hague: Mouton & Co./Indiana University."
"Oʼodham (Papago)"	"OODH"	"UTO-AZTECAN"	"USA"	"p,t̪,tʃ,k,b,d̪,ɖ,dʒ,ɡ,ʔ,i,ɨ,u,s,ʂ,h,a,o,m,n̪,ɲ,ɽ,w,"	"ŋ,j,"	"Saxton, Dean (1979) Papago. In Langacker (1979)."
"Paiute, Northern"	"NPAI"	"UTO-AZTECAN"	"USA"	"p,t,k,kʷ,ʔ,b,d,ɡ,ɡʷ,i,ɨ,u,ts,a,o,dz,dʒ,s,h,z,mː,nː,ŋː,m,n,ŋ,w,j,"		"Snapp, Allen, John Anderson, and Joy Anderson (1979) Northern Paiute. In Langacker (1979)."
"Palauan"	"PALU"	"AUSTRONESIAN"	"Palau"	"t̪,k,ʔ,b,d̪,i,u,s,e,ə,o,m,ŋ,a,r,l,"		"Josephs, Lewis S. (1975) Palauan Reference Grammar. Honolulu: The University Press of Hawaii."
"Papiamentu"	"PAPI"	"CREOLE"	"Netherlands Antilles and Aruba"	"p,t,k,b,d,ɡ,i,y,u,f,s,x,h,e,ø,o,v,z,ɛ,ɔ,m,n,a,l,r,w,j,"		"Kouwenberg, Silvia, and Eric Murray (1994) Papiamentu. Muenchen: Lincom Europa."
"Passamaquoddy-Maliseet (Malecite-Passamaquoddy)"	"PASS"	"ALGIC"	"Canada and USA"	"p,t,tʃ,k,kʷ,i,o,s,h,ə,m,n,e,a,l,w,j,"		"Leavitt, Robert M. (1996) Passamaquoddy-Maliseet. Muenchen: Lincom Europa."
"Pawnee"	"PAWN"	"CADDOAN"	"USA"	"p,t,k,ts,i,u,iː,uː,s,h,e,a,eː,aː,ɾ,w,"		"Parks, Douglas R. (1976) A Grammar of Pawnee. New York: Garland Publishing, Inc."
"Paʼanci"	"PAAN"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,c,k,kʷ,ʔ,b,d,ɟ,ɡ,ɡʷ,kʼ,kʼʷ,i,u,ɓ,ɗ,e,o,b,ⁿd,ⁿɟ,ɡ,ɡʷ,a,f,s,ɕ,v,z,ʑ,ei,au,sʼ,ɬ,ɬʼ,ɮ,l,r,m,n,h,hʷ,hʲ,j,w,ɦ,ɦʲ,ɦʷ,jʼ,"		"Skinner, Margaret Gardner (1979) Aspects of Pa’anci Grammar. Ann Arbor: UMI."
"Pech (Paya)"	"PECH"	"CHIBCHAN"	"Honduras"	"p,t,k,kʷ,ʔ,b,i,u,s,ʃ,h,e,o,m,n,a,ɾ,r,ĩ,ũ,l,ẽ,õ,j,w,ã,"		"Holt, Dennis (1999) Pech (Paya). Muenchen: Lincom Europa."
"Pengo"	"PENG"	"DRAVIDIAN"	"India"	"p,t̪,ʈ,c,k,b,d̪,ɖ,ɡ,i,u,iː,uː,dz,e,o,eː,oː,s,h,a,aː,β,z,m,n,ɳ,ŋ,r,ɽ,l,j,"		"Burrow, T. and S. Bhattacharya (1970) The Pengo Language. Oxford: Clarendon Press."
"Pero"	"PERO"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,tʃ,k,i,u,b,d,dʒ,ɡ,e,o,ɓ,ɗ,a,m,n,ŋ,r,iː,uː,l,eː,oː,w,j,aː,"		"Frajzyngier, Zygmunt (1989) A Grammar of Pero. Berlin: Dietrich Reimer Verlag."
"Pero (Gwandum dialect)"	"PERG"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,tʃ,k,i,u,b,d,dʒ,ɡ,e,o,ɓ,ɗ,a,m,n,ŋ,r,iː,uː,l,eː,oː,w,j,aː,"		"Frajzyngier, Zygmunt (1989) A Grammar of Pero. Berlin: Dietrich Reimer Verlag."
"Persian"	"PERS"	"INDO-EUROPEAN (Indo-Iranian)"	"Iran, Iraq, UAE, Qatar"	"p,t̪,tʃ,k,ʔ,b,d̪,dʒ,ɡ,i,u,f,s,ʃ,x,h,e,o,v,z,ʒ,æ,a,m,n,l,r,j,"		"Dehghani, Yavar (2002) Persian. Muenchen: Lincom Europa."
"Pileni"	"PILE"	"AUSTRONESIAN"	"Solomon Islands"	"p,t,k,pʰ,tʰ,kʰ,b,ⁿd,i,u,f,s,e,o,v,a,m,n,ŋ,mʰ,nʰ,ŋʰ,l,lʰ,"		"Næss, Åshild (2000) Pileni. Muenchen: Lincom Europa."
"Pima Bajo"	"PIMA"	"UTO-AZTECAN"	"Mexico"	"p,t,k,ʔ,b,d,ɡ,iː,ɨː,uː,i,ɨ,u,s,h,oː,o,v,aː,a,m,n,l,w,j,"	"tʃ,f,e,ɲ,"	"Fernández, Zarina Estrada (1996) Pima Bajo. Muenchen: Lincom Europa."
"Pitjantjatjara/Western Desert Language"	"PITJ"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t̪ʲ,t,ʈ,k,m,n̪ʲ,n,ɳ,ŋ,i,u,l̪ʲ,l,ɭ,iː,uː,r,ɽ,a,w,j,aː,"		"Douglas, W. H. (1964) An Introduction to the Western Desert Language. Sydney: The University of Sydney."
"Polish"	"POLI"	"INDO-EUROPEAN (Slavic)"	"Poland, Germany, Israel, Czech Republic, Slovakia"	"p,pʲ,t̪,k,kʲ,b,bʲ,d̪,ɡ,ɡʲ,i,u,t̪s̪,t̺s̺ʲ,tʃ,cç,ẽ,õ,d̪z̪,d̪z̪ʲ,dʒ,ɟʝ,e,o,f,fʲ,s̪,s̪ʲ,ʃ,ç,x,xʲ,a,v,vʲ,z̪,z̪ʲ,ʒ,ʝ,m,mʲ,n,nʲ,ɲ,r,l,w,wʲ,j,"		"Swan, Oscar E. (1983) A Concise Grammar of Polish. Lanham, MD: University Press of America."
"Popoluca, Oluta"	"OLUT"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,tʃ,k,ʔ,iː,ɨː,uː,s,ʃ,h,eː,aː,oː,v,m,n,i,ɨ,u,e,a,o,j,"	"b,d,ɡ,f,ɾ,r,l,w,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Popoluca, Sayula"	"SAYU"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,tʃ,k,ʔ,b,d,ɡ,iː,ɨː,uː,eː,aː,oː,s,ʃ,h,i,ɨ,u,m,n,e,a,o,ɾ,w,j,"	"ð,f,v,r,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Portuguese (Brazilian)"	"PORB"	"INDO-EUROPEAN (Italic)"	"Brazil"	"p,t,k,b,d,ɡ,f,s,ʃ,i,ɨ,u,v,z,ʒ,e,ɐ,o,m,n,ɲ,ɛ,ɔ,l,ʎ,a,ɾ,ʀ,w,j,"		"Mateus, Maria Helena, and Ernesto d’Andrade (2000) The Phonology of Portuguese. New York: Oxford University Press."
"Portuguese (European)"	"PORT"	"INDO-EUROPEAN (Italic)"	"Portugal"	"p,t,k,b,d,ɡ,f,s,ʃ,i,ɨ,u,v,z,ʒ,e,ɐ,o,m,n,ɲ,ɛ,ɔ,l,ʎ,a,ɾ,ʀ,w,j,"		"Mateus, Maria Helena, and Ernesto d’Andrade (2000) The Phonology of Portuguese. New York: Oxford University Press."
"Pulaar"	"PULA"	"NIGER-CONGO"	"Senegal, Gambia, Guinea-Bissau, Mali, Mauritania, and Guinea"	"p,t,c,k,b,d,ɟ,ɡ,i,u,ɓ,ɗ,ʄ,e,o,m,n,ɲ,ŋ,ɛ,ɔ,f,s,a,r,l,w,j,h,"		"Paradis, Carole (1992) Lexical Phonology and Morphology: The Nominal Classes in Fula. New York: Garland Publishing, Inc."
"Pulu Annian"	"PULU"	"AUSTRONESIAN"	"Micronesia"	"p,t,k,pˠ,s,i,ɨ,u,ð,e,ə,o,m,n,ŋ,a,mˠ,l,w,j,"		"Oda, Sachiko (1977) The Syntax of Pulu Annian: A Nuclear Micronesian Language. Ann Arbor: UMI."
"Punjabi"	"PUNJ"	"INDO-EUROPEAN (Indo-Aryan)"	"India"	"pʰ,t̪ʰ,ʈʰ,cʰ,kʰ,ĩ,ũ,p,t̪,ʈ,c,k,i,u,b,d̪,ɖ,ɟ,ɡ,ɪ,ʊ,s̪,ʂ,h,ẽ,õ,e,o,m,n̪,ɳ,æ̃,ɔ̃,ɽ,ʀ,æ,ə,ɔ,l̪,ɭ,ã,w,j,a,"	"q,f,x,z̪,ɣ,"	"Bhatia, Tej K. (1993) Punjabi. New York: Routledge."
"Purik"	"PURI"	"SINO-TIBETAN"	"India"	"pʰ,t̪ʰ,tʰ,kʰ,p,t̪,t,k,q,b,d̪,d,ɡ,iː,uː,tsʰ,tʃʰ,i,u,ts,tʃ,eː,oː,dʒ,e,o,s,ʃ,χ,h,aː,z,ʒ,ʁ,a,m,n,ɲ,ŋ,l,r,w,j,"	"f,"	"Rangan, K. (1979) Purki Grammar. Mysore: Central Institute of Indian Languages."
"Quechua, Cuzco (Cuzco Kechua)"	"CUZC"	"QUECHUAN"	"Peru"	"pʰ,tʰ,tʃʰ,kʰ,qʰ,ʔ,p,t,tʃ,k,q,ɪ,ʊ,pʼ,tʼ,tʃʼ,kʼ,qʼ,a+,s,h,m,n,ɲ,l,ʎ,ɾ,w,j,"		"Davidson, Joseph O. Jr. (1977) A Contrastive Study of the Grammatical Structures of Aymara and Cuzco Kechua. Ann Arbor: UMI."
"Quechua, Ecuadorean Highland (as spoken in Bolivar Province)"	"ECHI"	"QUECHUAN"	"Ecuador"	"pʰ,tʰ,kʰ,p,t,k,i,u,b,d,ɡ,a,ts,tʃ,s,ʃ,h,z,ʒ,m,n,ɲ,l,ɾ,w,j,"		"Lombeida-Naranjo, Ernesto Balmodero (1976) Ecuadorean Highland Quechua Phonology. Ann Arbor: UMI."
"Quechua, Huallaga (Huanaco)"	"HUAL"	"QUECHUAN"	"Peru"	"p,t,tʃ,k,q,i,u,s,ʃ,h,e,o,ʐ,a,m,n,ɲ,l,ʎ,iː,uː,ɾ,eː,oː,w,j,aː,"	"b,d,ɡ,f,"	"Weber, David John (1983) A Grammar of Huallaga (Huanaco) Quechua. Ann Arbor: UMI."
"Quechua, Junín (San Pedro de Cajas variety)"	"SANP"	"QUECHUAN"	"Peru"	"p,t,ʈʂ,cç,k,i,u,b,d,ɡ,e,o,ɸ,s,ç,x,χ,a,m,n,ɲ,ŋ,l,ʎ,iː,uː,r,ɽ,eː,oː,w,j,aː,"		"Adelaar, W. F. H. (1977) Tarma Quechua grammar, texts, dictionary. Lisse: The Peter de Ridder Press."
"Quechua, Tarma (variety of North Junín Quechua)"	"TARM"	"QUECHUAN"	"Peru"	"p,t,ʈʂ,cç,k,i,u,b,d,ɡ,e,o,ɸ,s,ç,x,a,m,n,ɲ,ŋ,l,ʎ,iː,uː,r,ɽ,eː,oː,w,j,aː,"		"Adelaar, W. F. H. (1977) Tarma Quechua grammar, texts, dictionary. Lisse: The Peter de Ridder Press."
"Quichoa, Chimborazo (Chimborazo Highland Quechua)"	"CHIM"	"QUECHUAN"	"Ecuador"	"pʰ,t̪ʰ,tʰ,tʲʰ,kʰ,p,t̪,t,tʲ,k,ʔ,i,u,b,d̪,dʲ,ɡ,a,t̪s̪,s̪,ʃ,ʂ,x,h,z̪,ʒ,m,n̪,ɲ,l̪,ɽ,w,j,"		"Beukema, Ronald William (1975) A Grammatical Sketch of Chimborazo Quichoa. Ann Arbor: UMI."
"Quichua, Ecuador (Puyo Pongo variety)"	"ECUA"	"QUECHUAN"	"Ecuador"	"p,pʲ,t,c,k,kʲ,b,d,ɡ,i,u,ts,tʃ,a,dz,dʒ,s,ʃ,h,m,n,ɲ,r,l,ʎ,w,j,"		"Orr, Carolyn (1962) Equador Quichua Phonology. Elson, Benjamin (ed.) (1962) Studies in Ecuadorian Indian Languages: I. Norman: Summer Institute of Linguistics of the University of Oklahoma."
"Quichua, Imbabura Highland"	"IMBA"	"QUECHUAN"	"Ecuador"	"p,t̪,c,k,pʼ,t̪ʼ,cʼ,kʼ,i,u,a,ts,cç,cçʼ,ɸ,s,ç,x,β,z,ʝ,m,n,ɲ,l,ʎ,r,w,j,"	"b,d̪,ɡ,"	"Carpenter, Lawrence Kidd (1982) Ecuadorian Quichua: Descriptive Sketch and Variation. Ann Arbor: UMI."
"Rao"	"RAOX"	"SEPIK-RAMU"	"Papua New Guinea"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,i,ɨ,u,b,ⁿd,ɡ,e,ə,o,ʔb,ʔd,a,f,s,h,v,z,m,n,ŋ,r,w,j,"		"Stanhope, John M. (1980) The Language of the Rao People, Grengabu, Madang Province, Papua New Guinea. Canberra: Pacific Linguistics."
"Rapanui"	"RAPA"	"AUSTRONESIAN"	"Chile (Easter Island)"	"p,t̪,k,ʔ,h,i,u,v,e,o,m,n̪,ŋ,a,r,"		"Du Feu, Veronica (1996) Rapanui. New York: Routledge."
"Resígaro"	"RESI"	"ARAWAKAN"	"Peru"	"pʰ,tʰ,kʰ,p,t,tʲ,k,ʔ,ɪ,ɯ,b,d,dʲ,ɡ,ɛ,ɔ,tsʰ,cɕʰ,a,ts,cɕ,dz,ɟʑ,f,s,ɕ,h,v,ʑ,m̥,n̥,ɲ̥,m,n,ɲ,"	"x,ɾ,"	"Allin, Trevor R. (1976) A Grammar of Resígaro. Summer Institute of Linguistics. High Wycombe, England: Summer Institute of Linguistics."
